headline,label
Jiayuan.com Special Committee Engages Financial Advisor and Legal Counsel to Assist in Review of 'Going Private' Offer,Regulatory
Massad: 'We Didn't Think We Could Get this Far this Fast',OTHER
Perrigo Reaffirms FY19 Adj. EPS $3.75-$4.05 vs $3.93 Estimate,Guidance
"Sonoco Reports 10% Price Increase on All EPS Parts, Components, 7% Increase on All Sonopost Products",Products-Services
"IDEX Corporation Announces Plans to Delist from Chicago Stock Exchange, Will Continue Listing Of Common Stock On NYSE",Regulatory
8-K From Progenics Pharma Reports On May 25th Co. Entered a Settlement With Valeant and Salix Regarding Patent Infringement Case,Regulatory
10 Industries That Could Be Impacted by Driverless Cars,OTHER
"Keep an Eye on These 5 Stocks for November 11, 2015",OTHER
Mitel Views Mavenir Purchase Modestly Dilutive In Second Half Of 2015,Mergers and Acquisitions
"Carriage Services Reports Q2 EPS $0.37 vs. Est. $0.39, Rev. $61.9M vs. Est. $61.34M",Earnings
Horsehead holding Corporation Reports Q1 EPS $0.05 vs $0.09 Est; Revenues $111.4M vs $112.92M Est,Earnings
"Raymond James Maintains Strong Buy on Meta Financial Group, Raises Price Target to $41",Price Targets
"Citigroup Downgrades Citizens Financial Group, Inc. Common Stock to Neutral",Analyst Rating
"13F From Einhorn's Greenlight Shows Liquidated Stakes In Chemours, Dillard's, Shutterfly",OTHER
"Credit Suisse Upgrades Antero Midstream Partners to Outperform, Raises PT to $34.00",Price Targets
Pacific Premier Bancorp Q4 EPS $0.69 Beats $0.61 Estimate,Earnings
AbbVie And Morphic Therapeutic Announce Collaboration Targeting Fibrotic Diseases,Products-Services
Black Box Raises Qtr. Dividend from $0.11 to $0.12/Share,Dividends
"Argus Research Initiates Coverage on Cummins Inc. at Buy, Announces $162.00 PT",Price Targets
BlackBerry And CEO John Chen Agree to Contract Extension Through Nov. 2023,Management changes
Stamps.com Cuts FY19 Adj. EPS Guidance From $5.15-$6.15 To $3.35-$4.85 vs $5.43 Est.,Guidance
"Internap Q3 EPS $(1.01) Misses $(0.76) Estimate, Sales $72.878M Miss $73.34M Estimate",Earnings
"Wilhelmina Reports Q3 Adj. EBITDA $834K vs $1.46M in Same Qtr. Last Year, Sales $20.9M",Earnings
Time Warner Cable-Comcast Marriage Failed; What's Next?,Mergers and Acquisitions
"KBC Securities Downgrades Prosensa to Hold, Raises PT to $19.80",Price Targets
ResMed shares are trading higher after the company reported better-than-expected Q4 EPS and sales results. The company also raised its quarterly dividend.,Earnings
3M Reports Q4 EPS $1.35 vs $1.31 Est; Revenues $7.1B vs $7.09B Est					 ,Earnings
'Elon Musk's Boring Company completes excavation of Las Vegas' electric 'Loop'' -Electrek,Products-Services
UPDATE: Piper Jaffray Upgrades Pacific Sunwear of California to Overweight Following Teen Survey,Analyst Rating
"Cliffs Natural Resources Inc. Reports Q1 EPS of $0.66, Down 22% YOY; Revenue of $1.14B vs $1.19B Est",Earnings
IMAX Reports Deal for Three New Theatres in South Africa,Products-Services
"Sears Not Having a Happy Holidays, Home Depot to Benefit?",OTHER
"The Container Store Sees FY18 Sales At Lower End Of Previously-Issued $885M-$895M Range, Adj. EPS At Low End To Slightly Below $0.41-$0.51 Range",Guidance
THL Credit Announces Public Offering Of 6.6 Million Shares,Stock price movement
"Quicklogic Q4 Adj. EPS $(0.04), Inline, Sales $2.8M Miss $3M Estimate",Earnings
"Company News for August 5, 2010 - Corporate Summary",OTHER
"Russians in New York: Major NYSE-Traded Russian Companies (MTL, MBT, VIP, WBD)",OTHER
"Westar Energy, Wisconsin Energy, Exelon Shares Tumble to Session Lows Following Mid-Day Downgrades from Edward Jones",Stock price movement
Shares of Kite Pharma Rise as Much as 54% After-Hours Monday on Positive Non-Hodgkin's Lymphoma Trial Results Using KTE-C19,Stock price movement
Wendy's Arby's Group Ticking Higher On Renewed Takeover Chatter (WEN),Mergers and Acquisitions
"PAX Labs, Inc. Announces Fashion Retail Partnership With Notre Shop Chicago",Products-Services
Option Alert: Sproutts FM Jul 20.0 Calls: 1000 @  ASK  $1.10: 1173 traded vs 5 OI:  Earnings 8/3 Before Open (est)  $19.91 Ref,Stock price movement
"CEL-SCI Wins Approval from Gov't of Crotia to Begin Phase III Trial for Multikine in Head, Neck Cancer",Product Approval
Western Union To Launch Remittance Services Into Cuba By Q2 2016,Products-Services
"Benzinga Pro Mid-Day Price Check For Sector ETFs: Staples (XLP) Up 0.3%, Energy (XLE) Up 0.3%, Utilities (XLU) Up 0.2%, Industrial (XLI) Up 0.2%, Materials (XLB) Up 0.2%, Communications (XLC) Down 0.3%",Stock price movement
"Option Alert: Davita Healthcare: January 130 Call; Block Trade: 1,600 Contracts @$2.10; Currently $113.62",Stock price movement
"J.P. Morgan Leaves Gilead Sciences Overweight Rating, $45 PT Unchanged (GILD)",Price Targets
"Tyson Reports Purchase of AdvancePierre Foods for $40.25/Share in Cash, Total Enterprise Value ~$4.2B",Mergers and Acquisitions
SINA Earlier Said Expecting FY18 Sales $2.23B-$2.38B vs $2.15B Est.,Guidance
Peak Resorts Says 'the Board doesn't believe that it is prudent to consider the issuance of a dividend while the EB-5 funds remain in escrow.',Dividends
"UPDATE: Height Securities Raises Odds Individual Healthcare Mandate Repeal Remains In Final Tax Bill To 75%, Calls This Tailwind For Short-Term Medical Insureres (e.g. JP, IHC, HIIQ, EHTH), Minor Headwind For Managed Care And Hospitals (e.g. CNC, MOH)",Regulatory
"Top Semiconductors Stock Picks to buy on 5/6/11- KLIC, DIOD, SPRD, NPTN, PSEM, SQNS, NVLS, ONNN, FSII, AUTH, NVMI, SIMO",OTHER
"Shares of several industrial companies are trading higher as equities gain strength on news that some U.S. states will reopen their economies in phases, increasing economic activity and optimism around the coronavirus pandemic.",Stock price movement
"UPDATE: Goldman Sachs Reiterates Neutral Rating, Lowers PT for Navistar International",Price Targets
Energy Fuels Receives EPA Approval for Future Expansion of Nichols Ranch Uranium Project,Product Approval
Shares of several semiconductor companies are trading higher after President Trump made positive remarks on the U.S.-China trade talks. Trump is scheduled to meet with Chinese Vice Premier Liu He at the White House today.,Stock price movement
"Financial Breakfast: Morning News Summary for July 18, 2012",OTHER
"UBS Maintains Buy on Lowe's Companies, Raises Price Target to $130",Price Targets
"Delphi Technologies Q2 Adj. EPS $0.58 Misses $0.61 Estimate, Sales $1.121B Miss $1.14B Estimate",Earnings
"Deutsche Bank Reiterates Buy, Lowers PT On Five Below On Lower Revised Estimates",Price Targets
National CineMedia Files to Sell up 56.9M Shares of Common Stock,Stock price movement
Marlin Business Services Corp. Reports Q1 Adj. EPS $0.34 vs $0.36 Est.,Earnings
Innospec Inc. Reports Q3 EPS of $0.77 vs $0.75 Est; Revenue of $228.20M vs $228.40M Est,Earnings
Assured Guaranty (AGO) Shares Rise As Q4 Results Defy Analysts’ Expectations ,Stock price movement
A Bittersweet Day For Democracy: Brazil President Dilma Rousseff Impeached,OTHER
CIBC to Buy Atlantic Trust Private Wealth Mgmt from Invesco for $210M,Mergers and Acquisitions
"Benzinga Pro Afternoon Price Check For Sector ETFs: Utilities (VPU) Down 0.5%, Financials (XLF) Down 1.0%, Retail ETF (XRT) Down 1.4%, Industrials (VIS) Down 1.6%, Staples (VDC) Down 1.8%, Tech (XLK) Down 2.3%, Energy (XLE) Down 2.4%",Stock price movement
Vectren Reports Q2 EPS $0.18 vs $0.12 Est              ,Earnings
UPDATE: Dahlman Rose Upgrades Thompson Creek Metals to Buy on Commodity Price Bounce  ,Analyst Rating
ISS Endorses Western Digital-SanDisk Merger: What It Means For Shareholders,Mergers and Acquisitions
American Homes 4 Rent Earlier Reported Bryan Smith As COO,Management changes
Omnicom Announces Randall Weisenburger Steps Down As CFO,Management changes
"Citigroup Initiates Coverage on Versartis, Inc. at Buy, Announces $60.00 PT",Price Targets
"Activision Publishing Files Patent Infringement Suit against Worlds Inc., Worlds Online",Regulatory
"TransAlta Reports Q4 EPS C$0.18 vs. $0.11 Est., Funds From Operations of C$0.79",Earnings
"Cryolife Q1 EPS $0.04, Inline, Sales $67.5M Beat $66.36M Estimate",Earnings
LEDinside Says Decreasing LED Bulb Price Trend to Continue in 2014 -Digitimes,Products-Services
Seeing Notable Block Trade In Encana; 1M Shares At $10.09,Stock price movement
Goldman Sachs Is Making Waves In The Pipeline Space,OTHER
SunTrust's Bob Peck Says 'Remain on Sidelines' With AOL,Analyst Rating
"Home Depot Shares Rise 3% Premarket on Strong Earnings Beat, Dividend Increase, Share Buyback Announcement",Stock price movement
UPDATE: Genuine Parts Q1 Automotive Group Sales Flat at $1.9B,Earnings
"Another Day, Another Bank Misses On Earnings: Market Could Be On Defensive",OTHER
"RBC Capital Upgrades Altera Corporation to Outperform, Raises PT to $39.00",Price Targets
"Goldman Sachs Initiates Coverage on Darden Restaurants at Neutral, Announces $74.00 PT",Price Targets
Hawaiian Airlines Reports November Load Factor Decreased 1.8 Points To 84.1%,Earnings
"Benzinga Pro Morning Price Check For Sector ETFs: Staples (VDC) Up 0.8%, Financials (XLF) Up 0.6%, Energy (XLE) Up 0.5%, Utilities (VPU) Up 0.4%, Tech (XLK) Up 0.1%, Retail ETF (XRT) Down 0.2%, Industrials (VIS) Down 0.3%",Stock price movement
"3G Capital May be Targeting Deals for Pepsi, Campbell Soup -Wall Street Journal",Mergers and Acquisitions
"Citigroup Maintains Buy on American Axle & Mfg Hldgs, Lowers Price Target to $6",Price Targets
Aurora Launches Development of Optionally Piloted Vehicle Based on the DA42M,Products-Services
The Biotech Stock With The Best One-Week Performance,OTHER
Cablevision-Altice Is Finally Happening; What's Next?,Mergers and Acquisitions
"Jobless Claims Up, But Trend Still Down - Analyst Blog",Labour Issues
"Sony PlayStation OLED Vita Launches In Japan, Could be Positive for Universal Display",Products-Services
Gevo Sells off to Low of $0.52 following Offering Announcement,Stock price movement
"Option Alert: Delphi Automotive November 32.5 Call; Block Trade: 14,779 Contracts; Currently $29.62",Stock price movement
"Jim Cramer Shares His Thoughts On Waste Management, Deere And NXP Semiconductors",OTHER
Oncolytics Biotech Announces Encouraging Data from REO 018 Randomized Study of REOLYSIN in Head and Neck Cancers ,Products-Services
Editor of Little Bear Blog Says Time to Begin Covering Oracle Short Here,OTHER
Lavazza Reports 6.8% Stake in Green Mountain Coffee,OTHER
Drilling Stocks Unaffected Following Word Of Trump Admin. Proposed New Rules For Off-Shore Area Drilling,Regulatory
Dermalogica Selects 8x8 X Series With Contact Centre to Power its Customer Service Experience in UK and Ireland,Products-Services
"Morgan Stanley Initiates Coverage on Third Point Reinsurance at Overweight, Announces $16.50 PT",Price Targets
"Neptune Completes Submission To FDA For Registration Of Conover, NC Facility For Production Of Hand Sanitizers",Product Approval
"Retail Economist/Goldman Sachs Chain Store Sales Down 0.8% In Nov 10 Week, Up 1.8% Year Over Year",Earnings
BZ NOTE: Reminder Kraft Spun Off Mondelez in Mid 2012,OTHER
"Barron's Picks And Pans: Coronavirus Picks, Bonds, Safe Havens And More",OTHER
Time Warner Cable Loses Challenge to FCC Carriage Regulation,Regulatory
"Cantor Fitzgerald Initiates Coverage on Post Properties at Buy, Announces PT of $50",Price Targets
TiVo Option Alert: Oct 18 $7 Calls Sweep (13) near the Ask: 3000 @ $2.601 vs 2265 OI; Earnings 5/9 After Close [est] Ref=$9.32,Stock price movement
Black Box Shares Now Trading Up 100% For The Session After Co. Earlier Announced Data Center Contract With Social Media Company,Stock price movement
UPDATE: US Senator Nelson Asks Three Federal Agencies to Investigate Lumber Liquidators -Reuters,Regulatory
"Citigroup Maintains Neutral on T. Rowe Price Group, Raises Price Target to $135",Price Targets
Oppenheimer Reiterating Outperform On Tesoro Logistics Partners ,Analyst Rating
Tech Expert: Own GoPro Before It Starts Selling Drones,OTHER
"Bristol-Myers Squibb Reports FDA Approval of US Product Labeling Update for Sprycel, Will Include Five-Year First-Line, Sever-Year Second-Line Efficacy, Safety Data",Product Approval
"Lowe's Misses Expectations On Q1 Earnings, Blames Unseasonably Cool Weather ",Earnings
UPDATE: ISI Group Upgrades Fortune Brands Home & Security to Buy on Earnings Acceleration  ,Analyst Rating
Iamgold shares are trading lower after the company reported Q1 financial results and the stock was downgraded by Canaccord Genuity from Buy to Hold.,Stock price movement
"Deutsche Bank Maintains Buy on Magellan Health Services, Inc., Raises PT to $53.00",Price Targets
"Goldman Sachs Maintains Buy, $84 PT on Camden Property Trust ",Price Targets
Five Prime Therapeutics Filing Shows Registration For $250M Common Stock Offering,Stock price movement
"13F From Omega Shows Increased Stake In Sinclair Broadcast Group; Exited Stake In Tribune Media, Walgreens Boots Alliance and Weatherford International",Mergers and Acquisitions
"Itron Q1 Adj. EPS $0.7 Beats $0.44 Estimate, Sales $614.576M Beat $585.65M Estimate",Earnings
"Nomura Downgrades DineEquity to Neutral, Lowers price target to $77.00",Price Targets
Horace Mann Educators Reports Q4 EPS $0.72 vs $0.53 Est; Revenues $247.6M vs $243.18M Est		 ,Earnings
"Hearing FCC Has Denied Motion For Extension, Added Info In Sinclair/Tribune Deal",Regulatory
"Barclays Raises Target On Chipotle, Sees Buffalo Wild WIngs Q2 Beat",Price Targets
"Keefe Bruyette & Woods Initiates Coverage On Fidelity National Info with Outperform Rating, Announces $136 Price Target",Price Targets
Priceline.com Prices $1B in Convertible Senior Notes Offering,Stock price movement
"Keefe, Bruyette & Woods Upgrades Dynex Capital to Outperform, Raises Price Target to $17.5",Price Targets
"BTIG Previews Workday's Q2 Results, Comments On IBM Deal",OTHER
"Spectrum Brands Holdings To Reaffirm Fiscal 2020 Guidance At CAGNY Conference; Sees FY20 Adj. EBITDA $570M-$590M, Adj. FCF $240M-$260M",Guidance
"Top Day Trader Alerts (BIDU, BSMD, ERTS, HAUP, JCP, NBG, NVDA, BEE, YHOO)",OTHER
"Stifel Nicolaus Maintains Computer Sciences at Buy, Raises PT from $34 to $39",Price Targets
"Benzinga's Top Upgrades, Downgrades For March 20, 2019",OTHER
"After Chilly Winter, Homebuilders To Share Earnings With High Hopes Ahead",Guidance
Leerink Swann Initiates Coverage on Enanta Pharma at Outperform,Analyst Rating
"Titan Machinery Q4 EPS -$0.20 vs -$0.19 est, Revenue $490.7M vs $545.5M est",Earnings
"Canadian Banks Still Pay Juicy Dividends (AXP, JPM, TD, RY)",Dividends
Jim Chanos Talks Latest Major Short Win And How To Find New Opportunities,OTHER
Eaton Vance Corp Plans To Jump Into The ETF Arena With Active ETFs,Products-Services
6 Things Investors Should Know About The December Market Setup,OTHER
Orbital Successfully Launches Minotaur I Rocket Supporting ORS-3 Mission for US Air Force ,Products-Services
Barrick Sees FY17 Cooper Production Of 400M-450M Lbs.,Guidance
Laboratory Corp Raises FY Guidance From $8.60 - $8.95 to $8.70 - $8.90 vs $8.81 est,Guidance
Juniper Networks To Discuss Growth Initiatives During Its Analyst Day,Guidance
Tonix Pharma shares are trading lower after the company filed for a $34M stock and warrant offering.,Stock price movement
Mid-Afternoon Market Update: Dow Up Over 200 Points; Lakeland Industries Shares Spike Higher,Stock price movement
"Icahn Hertz Global Options Position Said To Expire On June 17, 2016 ",Stock price movement
Southern Union Company Up Nearly 15% in Pre-Market on Buyout Offer,Stock price movement
Top 4 Small-Cap Stocks In The Staffing & Outsourcing Services Industry With The Highest Dividend Yield,Dividends
PRUPIM Selects CB Richard Ellis Group to Provide Services for 45 Million Sq. Ft. U.K. Property Portfolio,Products-Services
"Parkway Sees FY16 EPS $0.29-$0.39, FFO $1.28-$1.38 vs $1.43 Est.",Guidance
iGATE Proposes to Launch Process to Delist Patni Computer Systems Limited,Regulatory
'Merger Mania' In Semiconductor Space: Who's Up To Bat And Who's Struck Out,OTHER
Chewing On Chips: Looking For Semiconductor ETFs To Rebound In 2016,OTHER
"MWI Veterinary Supply, Inc. Sees FY2013 EPS $4.79-4.89 vs $4.86 Est; Sees Sales $2.32B-2.36B vs $2.36B Est",Guidance
"Credit Suisse Upgrades Procter & Gamble Company (The) to Outperform, Raises PT to $105.00",Price Targets
"Norwegian Cruise Line Q1 EPS $0.83 Adj. Beats $0.7 Estimate, Sales $1.404B Beat $1.39B Estimate",Earnings
Broadcom Finds A Clever Way To Maintain M&A Strategy With Brocade Deal,Mergers and Acquisitions
Worthington Industries Reports Q2 EPS $0.27 vs $0.32 Est; Revenues $570.4M vs $589.3M Est,Earnings
UPDATE: Citigroup Initiates Healthways at Sell; EPS Expectations Are Optimistic  ,Analyst Rating
"CORRECTION: Credit Suisse Maintains Neutral on Olympic Steel, Inc., Lowers PT to $19.00",Price Targets
"Tesla Q2 Adj. EPS $(1.12) Misses $(0.48) Estimate, Sales $6.35B Miss $6.43B Estimate",Earnings
"Brown & Brown Reports Purchase Of Sterling Group, No Terms Disclosed",Mergers and Acquisitions
"Janney Capital Initiates Coverage on Neogen Corporation at Neutral, Announces $61.00 PT",Price Targets
JMP Securities Sees Reasons For Long-Term Optimism For Progress Software,OTHER
"Deutsche Bank: Expect Rails to Beat Expectations (UNP, CSX, NSC, RA)",Guidance
"Benchmark Reiterates Buy on eBay, Lowers Price Target to $47",Price Targets
"Hovde Group Initiates Coverage on Sussex Bancorp at Outperform, Announces $15.25 PT",Price Targets
Navios Maritime Holdings Inc. Sells Two Vessels for $177M,Products-Services
Daily Telegraph's Christopher Hope Reports Boris Johnson To Address Mass Meeting Of 1922 Committee Of Conservative Backbenchers,Regulatory
UPDATE: Wedbush Raises PT on Williams-Sonoma on Strong 3-Year Outlook,Price Targets
Mid-Morning Market Update: Markets Open Higher; General Motors Profit Beats Views,Earnings
"American Campus Q4 EPS $0.34, Inline, FFO $0.72 vs $0.72 In Same Qtr. Last Year, Sales $245.873M Beat $227.56M Estimate",Earnings
"Stifel Nicolaus Downgrades The Advisory Board Company to Hold, Removes $65.00 PT",Price Targets
"Four Views Of Global Growth: BlackRock, McKinsey, Deutsche Bank And BoAML",OTHER
UPDATE: UBS On Monster Notes 'our normalized estimate for US growth of +3.6% adj. for advance shipment compare ($16M) and extra shipping day (+1.5%) suggests negative underlying volume growth inclusive of the Reign rollout contribution',Guidance
"What Will A Protracted Government Battle Over Healthcare Mean For Tax Reform, Infrastructure?",Regulatory
Shares of several oil & gas companies are trading higher on heightened tensions following an attack on a Saudi Arabian oil field. NOTE: The strike on the oil field has disrupted about half of Saudi Arabia's oil production equivalent to 5% of the daily global oil supply.,Stock price movement
Cowen & Company Downgrades Endo Health Solutions Inc. to Underperform,Analyst Rating
13F From Loeb's Third Point Shows Liquidated Position In Alexion,OTHER
UPDATE: Archer Daniels Says Brazilian Sugar Ethanol Sale Includes Sugarcane Plantation And Ethanol Distillery,Products-Services
Option Alert: CoreCivic Sep 27.0 Puts Sweep: 1000 @  ASK  $1.45: 1229 traded vs 152 OI:  Earnings 8/2 After Close (est)  $30.65 Ref,Stock price movement
"QIWI Raises Guidance: Sees FY18 Adj. Net Sales Up 40-45% Year Over Year, Adj. Net Profit Down 10-15% YoY",Guidance
"The Meet Group Sees Q3 Sales $32-$34M vs $35.7M Est., Adj. EBITDA $7.5-$9.5M; FY17 Sales $121-$126M vs $129M Est., Adj. EBITDA $32-$37M",Guidance
Trump Says Human Rights was Discussed and Will be Discussed in Future Talks with N. Korea,Regulatory
"J.P. Morgan Increases PT on Aspen Technology, Overweight",Price Targets
"Redbook Reports US Retail Sales During First 3 Weeks Of Feb. Down 1.4% Month Over Month, Up 5.1% Year Over Year",Earnings
"Benzinga Pro's Top 10 Most-Searched Tickers For Afternoon Of Wed., Oct. 17, 2018",OTHER
Giga-tronics Reports $3.4M Private Placement Financing,Stock price movement
"Level 3 Communications, Inc. Reports Q4 EPS of $0.06 vs $0.03 Est; Revenue of $1.60B vs $1.59B Est",Earnings
Casablanca Issues Comment on Cliffs Natural Resources' 'Desperate Ploy to Maintain Status Quo',OTHER
"Stephens & Co. Downgrades Rackspace Hosting, Inc to Equalweight",Analyst Rating
"JP Morgan Downgrades ManpowerGroup to Neutral, Lowers Price Target to $82",Price Targets
"Sina Reports Q4 Adj. EPS $0.24 vs $0.18 Est., Sales $211.1M vs $207.6M Est.; Sees FY15 Sales $800M-$900M vs $884.6M Est.",Earnings
Biogen Cuts FY15 Adj. EPS Guidance to $15.50-$15.95 vs $16.63 Est.,Guidance
U.S. Investment Banks Better Off Than European Peers? How To Capitalize,OTHER
Goldman Says Buy Freeport-McMoRan Copper & Gold (FCX),Analyst Rating
"SpartanNash Reports Q1 Adj. EPS $0.55 vs $0.54 Est., Sales $2.4B vs $2.46B Est.",Earnings
Level 3 Earlier Said Recommends Holders Reject Offer By TRC Capital At $50.50/Share,Analyst Rating
"Benzinga's Top Upgrades, Downgrades For January 23, 2019",OTHER
NXT-ID Reports Issuance Of Patent For IoT Device Collaboration,Products-Services
"Baird Upgrades SJW Corporation to Outperform, Maintains $33.00 PT",Price Targets
"JP Morgan Maintains Neutral on General Mills, Raises PT to $63.00",Price Targets
"UPDATE: Pfizer, Sanofi, German Bidder Said to be Competing for Medivation",Mergers and Acquisitions
"Morgan Stanley Sees 'Solid Progress' Following Zynga's Q2 Results But Warns Q4 'is Where Rubber Meets Road;' Equal-weight Rating, $2.80 Target Reiterated",Price Targets
"Raymond James Upgrades International Rectifier To Strong Buy, $41 PT",Price Targets
Top 4 Stocks In The Internet Service Providers Industry With The Highest Cash,OTHER
The Medicines Company Falls 10% Following Angiomax Court Hearing,Regulatory
Total Awards $80 Million Contract to FMC Technologies ,Products-Services
Upcoming Earnings: Tech Giant Nvidia Unveils New GPUs Ahead Of Q2 Results,Products-Services
BNY Mellon Appoints James Wiener As Chief Risk Officer  ,Management changes
"Radius Health 10%+ Owner BB BIOTECH AG (10%+) Buys 50,000 @ Avg Price: $26.25 Form4",Stock price movement
Spark Energy Reaffirms FY 2017 Adj. EBITDA Guidance,Guidance
Cigna Reiterates Support For Its Planned Merger With Express Scripts In Letter To Shareholders,Mergers and Acquisitions
Shares of several consumer goods companies are trading higher amid overall market strength. Better-than-expected US jobless numbers and easing lockdown restrictions in some states has led to hopes of a rebound in consumer spending.,Stock price movement
Mohawk Industries shares are trading lower after the company reported worse-than-expected Q1 sales results.,Earnings
Black Friday 2011: Retailers Sacrifice Margins for Volume,OTHER
UPDATE: Morgan Stanley Upgrades Consol Energy to Overweight on Good Long-Term Position,Analyst Rating
"Kopin Chairman Fan Buys 116,400 Shares @$2.83/Share -Form 4",Stock price movement
UPDATE: D.A. Davidson Downgrades Bank of Marin Bancorp Following Q2'13 EPS Report,Analyst Rating
Ericsson Announces Multi-Year Captioning Services Contracts with ABC and SBS in Australia,Products-Services
Shares of several semiconductor companies are trading higher after Broadcom reported better-than-expected Q1 EPS and issued strong FY19 guidance.,Earnings
"The Benchmark Company Initiates Coverage On 1-800-FLOWERS at Buy, Announces PT of $5",Price Targets
FDA Panel to Discuss Development of Ebola Vaccines in May -Reuters,Regulatory
Berry Global To Invest ~$30M To Increase Production Capacity Of Ultra-High Performance Stretch Films,Products-Services
Spokesperson for Canadian Prime Minister Responds to Hillary Clinton's Comment Related to Opposing Keystone Pipeline: '...We Know the American People Support the Project',Regulatory
"Wunderlich Downgrades Diamond Offshore Drilling, Inc. to Hold, Lowers PT to $50.00",Price Targets
Macquarie Upgrades Six Flags Entertainment to Neutral,Analyst Rating
Ares Commercial Real Estate Names Former CEO of CBRE to Board,Management changes
Dot Hill Systems Announces Re-alignment of Software Development Initiatives; Sees Q4 EPS of $(0.02)-(0.03) vs $0.03-(0.03) Prior ,Guidance
"HC Wainwright & Co. Maintains Buy on Balchem, Lowers Price Target to $104",Price Targets
Gilead Shares Volatile This Morning Following FDA Approval of VITEKTA in HIV,Product Approval
Previewing Tomorrow's Economic Data: All Eyes On Canada,OTHER
NY Governor Cuomo Confirms the First Case of Covid-19 in New York State,Regulatory
"LPL Financial Reports Q2 EPS $0.53 Vs Est $0.44, Sales $1.019B Vs Est $1.0B",Earnings
IES Holdings Announces Appointment Of Gary Matthews As CEO,Management changes
Shares of CommVault Spike Following Piper Jaffray's Comments,Stock price movement
"Sociedad Quimica Y Minera Yesterday Reported Q4 EPS $0.25, Inline, Sales $472.3M Miss $497.4M Estimate",Earnings
"Huttig Building Products Shares Up 17% After Co. Announced 2Q18 Financial Results Monday After Close; EPS $0.10 Misses $0.16 Estimate, Sales $223.4M Beat $215.79M Estimate; Co. Also Announced That Its Former CFO Has Rejoined Co. As Financial Consultant",Earnings
"Epratuzumab Phase IIB Data Demonstrated Sensitivity of BICLA, a Novel BILAG-Based Composite Endpoint  ",Products-Services
NOVAVAX Awarded HHS-BARDA Contract Valued at up to $179 Million ,Products-Services
Nelson Peltz And Pentair: Could M&A Be On The Horizon?,Mergers and Acquisitions
BMO Capital Upgrades Equity Lifestyle Props to Outperform,Analyst Rating
"A Peek Into The Markets: US Stock Futures Down, Morgan Stanley Earnings Miss In Focus",Stock price movement
EOG Resources Inc. (EOG) Loses Strength On Charts After Q4 Earnings,Stock price movement
"Benzinga Pro Mid-Day Price Check For Sector ETFs: Industrials (VIS) Up 1.0%, Technology (XLK) Up 0.4%, Staples (VDC) Up 0.2%, Retail (XRT) Up 0.1%, Financials (XLF) Flat 0.04%, Healthcare (IYH) Down 0.1%, Energy (XLE) Down 0.5%",Stock price movement
"US Senator Blumenthal Says Apple, Google Have A 'Lot Of Work To Do' To Convince People Coronavirus Contact Tracing Will Not Violate Privacy",Regulatory
"Pfizer Q2 EPS $0.8 Beats $0.75 Estimate, Sales $13.264B Miss $13.4B Estimate",Earnings
Deckers Outdoor Falling On Heavy Volume Again (DECK),OTHER
"Credit Suisse Upgrades Thomson Reuters to Outperform, Raises Price Target to $80",Price Targets
D.A. Davidson on Anadigics: Awaiting Long-Term Catalyst,OTHER
La Jolla Pharmaceutical Company Reports Exclusive Worldwide License Agreements Covering LJPC-30Sa and LJPC-30Sb,Regulatory
Leggett & Platt Inc Reports Q4 EPS $0.57 Vs Est $0.51,Earnings
UPDATE: Pivotal Downgrades Zumiez As Risk Reward Is No Longer Compelling Following 40% Gain From December Lows; Firm Worries 'that 1Q19 is off to a slow start and that guidance may fall short of consensus for the quarter',Analyst Rating
Technicals Show The Silver ETF (SLV) May Have Bottomed,OTHER
"Computer Programs and Systems, Inc. Reports Q3 EPS of $0.66 vs $0.67 Est; Revenue of $46.80M vs $47.89M Est",Earnings
"Deutsche Bank Maintains Hold on Bank of New York Mellon, Lowers Price Target to $43",Price Targets
Top 4 Small-Cap Stocks In The Internet Software & Services Industry With The Lowest PEG Ratio,OTHER
Starwood Shares Largely Unch as Co. Announces Multi-Billion Dollar Investment in Le Meridien Global Portfolio,Mergers and Acquisitions
"Getty Realty Reports Q4 EPS $0.33 vs $0.28 Est., Adj. FFO $0.43",Earnings
"Short Interest in AngloGold Ashanti, IAMGOLD Continues to Surge (AU, IAG, KGC)",OTHER
"Fitch Places Portugal Telecom on Rating Watch Negative, May Downgrade to Junk",Credit Ratings
UPDATE: Moody's Says Debt Ceiling Boost Eliminates Risk of Default,Credit Ratings
Investors Dismiss Moody's Deutsche Bank Debt Downgrade,Credit Ratings
Magna Enters Into New $2.25B Global Credit Facility,Credit Ratings
Weatherford's Outlook Upgraded From Negative to Stable by Moody's,Credit Ratings
S&P Downgrades Darden Restaurants CCR to BBB-; Outlook Stable,Credit Ratings
Moody's Upgrades Genesee & Wyoming's CFR from Ba3 to Ba2; Outlook Stable,Credit Ratings
"S&P Affirms AIG's Long-Term Counterparty Credit, AIG P/C Subs Upgraded; Outlook Negative",Credit Ratings
Boardwalk Pipeline Partners Prices Private Placement $325M Aggregate Principal Amount Of 4.50% 2012 Senior Notes (BWP),Credit Ratings
"Moody's Assigns A3 Ratings to Potash Corp. Notes, Outlook Stable",Credit Ratings
"S&P Affirms Verifone Ratings, Raises Outlook from Stable to Positive",Credit Ratings
Spanish Yields Rise After Moody's Downgrades 28 Banks,Credit Ratings
